country,date,price,year,quarter
South Africa,1966-03-31,1.08,1966,1
South Africa,1966-06-30,1.11,1966,2
South Africa,1966-09-30,1.1,1966,3
South Africa,1966-12-31,1.14,1966,4
South Africa,1967-03-31,1.26,1967,1
South Africa,1967-06-30,1.31,1967,2
South Africa,1967-09-30,1.35,1967,3
South Africa,1967-12-31,1.35,1967,4
South Africa,1968-03-31,1.33,1968,1
United Kingdom,1968-06-30,2.17,1968,2
South Africa,1968-06-30,1.34,1968,2
United Kingdom,1968-09-30,2.24,1968,3
South Africa,1968-09-30,1.39,1968,3
United Kingdom,1968-12-31,2.24,1968,4
South Africa,1968-12-31,1.44,1968,4
United Kingdom,1969-03-31,2.24,1969,1
South Africa,1969-03-31,1.46,1969,1
United Kingdom,1969-06-30,2.3,1969,2
South Africa,1969-06-30,1.51,1969,2
United Kingdom,1969-09-30,2.3,1969,3
South Africa,1969-09-30,1.55,1969,3
United Kingdom,1969-12-31,2.36,1969,4
South Africa,1969-12-31,1.59,1969,4
Canada,1970-03-31,6.43,1970,1
Switzerland,1970-03-31,25.44,1970,1
United Kingdom,1970-03-31,2.36,1970,1
South Africa,1970-03-31,1.67,1970,1
Canada,1970-06-30,6.43,1970,2
Switzerland,1970-06-30,25.3,1970,2
United Kingdom,1970-06-30,2.36,1970,2
South Africa,1970-06-30,1.75,1970,2
Canada,1970-09-30,6.48,1970,3
Switzerland,1970-09-30,26.12,1970,3
United Kingdom,1970-09-30,2.48,1970,3
South Africa,1970-09-30,1.79,1970,3
Canada,1970-12-31,6.67,1970,4
Switzerland,1970-12-31,26.17,1970,4
United Kingdom,1970-12-31,2.48,1970,4
South Africa,1970-12-31,1.81,1970,4
Canada,1971-03-31,6.72,1971,1
Switzerland,1971-03-31,27.99,1971,1
United Kingdom,1971-03-31,2.54,1971,1
South Africa,1971-03-31,1.83,1971,1
Canada,1971-06-30,6.8,1971,2
Switzerland,1971-06-30,27.91,1971,2
United Kingdom,1971-06-30,2.6,1971,2
South Africa,1971-06-30,1.87,1971,2
Canada,1971-09-30,6.77,1971,3
Switzerland,1971-09-30,29.16,1971,3
United Kingdom,1971-09-30,2.78,1971,3
South Africa,1971-09-30,1.9,1971,3
Canada,1971-12-31,7.12,1971,4
