country,date,price,year,quarter
South Africa,1967-03-31,16.51,1967,1
South Africa,1967-06-30,18.09,1967,2
South Africa,1967-09-30,23.08,1967,3
South Africa,1967-12-31,18.51,1967,4
South Africa,1968-03-31,5.0,1968,1
South Africa,1968-06-30,2.42,1968,2
South Africa,1968-09-30,3.13,1968,3
South Africa,1968-12-31,7.03,1968,4
South Africa,1969-03-31,10.31,1969,1
United Kingdom,1969-06-30,5.56,1969,2
South Africa,1969-06-30,12.6,1969,2
United Kingdom,1969-09-30,2.7,1969,3
South Africa,1969-09-30,11.36,1969,3
United Kingdom,1969-12-31,5.41,1969,4
South Africa,1969-12-31,10.22,1969,4
United Kingdom,1970-03-31,5.41,1970,1
South Africa,1970-03-31,14.39,1970,1
United Kingdom,1970-06-30,2.63,1970,2
South Africa,1970-06-30,16.09,1970,2
United Kingdom,1970-09-30,7.89,1970,3
South Africa,1970-09-30,15.64,1970,3
United Kingdom,1970-12-31,5.13,1970,4
South Africa,1970-12-31,13.91,1970,4
Canada,1971-03-31,4.54,1971,1
Switzerland,1971-03-31,10.0,1971,1
United Kingdom,1971-03-31,7.69,1971,1
South Africa,1971-03-31,9.43,1971,1
Canada,1971-06-30,5.77,1971,2
Switzerland,1971-06-30,10.33,1971,2
United Kingdom,1971-06-30,10.26,1971,2
South Africa,1971-06-30,7.23,1971,2
Canada,1971-09-30,4.5,1971,3
Switzerland,1971-09-30,11.64,1971,3
United Kingdom,1971-09-30,12.2,1971,3
South Africa,1971-09-30,5.89,1971,3
Canada,1971-12-31,6.76,1971,4
Switzerland,1971-12-31,13.52,1971,4
United Kingdom,1971-12-31,17.07,1971,4
South Africa,1971-12-31,5.81,1971,4
Canada,1972-03-31,8.22,1972,1
Switzerland,1972-03-31,10.52,1972,1
United Kingdom,1972-03-31,21.43,1972,1
South Africa,1972-03-31,5.17,1972,1
Canada,1972-06-30,6.95,1972,2
Switzerland,1972-06-30,17.74,1972,2
United Kingdom,1972-06-30,30.23,1972,2
South Africa,1972-06-30,2.81,1972,2
Canada,1972-09-30,8.94,1972,3
Switzerland,1972-09-30,17.94,1972,3
United Kingdom,1972-09-30,39.13,1972,3
South Africa,1972-09-30,5.0,1972,3
Canada,1972-12-31,8.5,1972,4
Switzerland,1972-12-31,21.61,1972,4
United Kingdom,1972-12-31,43.75,1972,4
South Africa,1972-12-31,7.15,1972,4
Canada,1973-03-31,11.66,1973,1
Switzerland,1973-03-31,25.54,1973,1
United Kingdom,1973-03-31,50.98,1973,1
South Africa,1973-03-31,11.48,1973,1
Canada,1973-06-30,17.5,1973,2
Switzerland,1973-06-30,17.2,1973,2
United Kingdom,1973-06-30,44.64,1973,2
South Africa,1973-06-30,14.75,1973,2
Canada,1973-09-30,24.43,1973,3
Switzerland,1973-09-30,14.33,1973,3
United Kingdom,1973-09-30,34.38,1973,3
South Africa,1973-09-30,17.46,1973,3
Canada,1973-12-31,30.15,1973,4
Switzerland,1973-12-31,7.29,1973,4
United Kingdom,1973-12-31,26.09,1973,4
South Africa,1973-12-31,18.46,1973,4
Canada,1974-03-31,36.83,1974,1
