country,date,price,year,quarter
South Africa,1966-03-31,56.13,1966,1
South Africa,1966-06-30,56.81,1966,2
South Africa,1966-09-30,55.86,1966,3
South Africa,1966-12-31,57.05,1966,4
South Africa,1967-03-31,63.09,1967,1
South Africa,1967-06-30,64.43,1967,2
South Africa,1967-09-30,65.9,1967,3
South Africa,1967-12-31,66.2,1967,4
South Africa,1968-03-31,64.87,1968,1
United Kingdom,1968-06-30,22.5,1968,2
South Africa,1968-06-30,65.08,1968,2
United Kingdom,1968-09-30,23.05,1968,3
South Africa,1968-09-30,66.88,1968,3
United Kingdom,1968-12-31,22.78,1968,4
South Africa,1968-12-31,68.94,1968,4
United Kingdom,1969-03-31,22.38,1969,1
South Africa,1969-03-31,69.33,1969,1
United Kingdom,1969-06-30,22.59,1969,2
South Africa,1969-06-30,70.69,1969,2
United Kingdom,1969-09-30,22.59,1969,3
South Africa,1969-09-30,72.35,1969,3
United Kingdom,1969-12-31,22.79,1969,4
South Africa,1969-12-31,73.34,1969,4
Canada,1970-03-31,37.07,1970,1
Switzerland,1970-03-31,77.63,1970,1
United Kingdom,1970-03-31,22.41,1970,1
South Africa,1970-03-31,76.73,1970,1
Canada,1970-06-30,36.89,1970,2
Switzerland,1970-06-30,76.55,1970,2
United Kingdom,1970-06-30,21.87,1970,2
South Africa,1970-06-30,79.08,1970,2
Canada,1970-09-30,36.89,1970,3
Switzerland,1970-09-30,77.99,1970,3
United Kingdom,1970-09-30,22.74,1970,3
South Africa,1970-09-30,79.96,1970,3
Canada,1970-12-31,38.13,1970,4
Switzerland,1970-12-31,76.54,1970,4
United Kingdom,1970-12-31,22.27,1970,4
South Africa,1970-12-31,80.06,1970,4
Canada,1971-03-31,38.25,1971,1
Switzerland,1971-03-31,80.38,1971,1
United Kingdom,1971-03-31,22.23,1971,1
South Africa,1971-03-31,80.33,1971,1
Canada,1971-06-30,38.2,1971,2
Switzerland,1971-06-30,79.07,1971,2
United Kingdom,1971-06-30,22.03,1971,2
South Africa,1971-06-30,80.35,1971,2
Canada,1971-09-30,37.39,1971,3
Switzerland,1971-09-30,81.63,1971,3
United Kingdom,1971-09-30,23.11,1971,3
South Africa,1971-09-30,79.8,1971,3
Canada,1971-12-31,39.05,1971,4
Switzerland,1971-12-31,81.52,1971,4
United Kingdom,1971-12-31,23.88,1971,4
South Africa,1971-12-31,79.58,1971,4
Canada,1972-03-31,39.4,1972,1
Switzerland,1972-03-31,83.35,1972,1
United Kingdom,1972-03-31,25.01,1972,1
South Africa,1972-03-31,79.24,1972,1
Canada,1972-06-30,39.04,1972,2
Switzerland,1972-06-30,87.45,1972,2
United Kingdom,1972-06-30,26.89,1972,2
South Africa,1972-06-30,78.18,1972,2
Canada,1972-09-30,38.77,1972,3
Switzerland,1972-09-30,90.31,1972,3
United Kingdom,1972-09-30,30.25,1972,3
South Africa,1972-09-30,78.64,1972,3
Canada,1972-12-31,40.28,1972,4
Switzerland,1972-12-31,92.66,1972,4
United Kingdom,1972-12-31,31.81,1972,4
South Africa,1972-12-31,79.65,1972,4
Canada,1973-03-31,41.61,1973,1
Switzerland,1973-03-31,97.14,1973,1
United Kingdom,1973-03-31,35.03,1973,1
South Africa,1973-03-31,80.96,1973,1
Canada,1973-06-30,42.84,1973,2
Switzerland,1973-06-30,94.73,1973,2
United Kingdom,1973-06-30,35.6,1973,2
South Africa,1973-06-30,81.46,1973,2
Canada,1973-09-30,44.68,1973,3
Switzerland,1973-09-30,95.37,1973,3
United Kingdom,1973-09-30,37.17,1973,3
South Africa,1973-09-30,84.65,1973,3
Canada,1973-12-31,48.05,1973,4
Switzerland,1973-12-31,89.76,1973,4
United Kingdom,1973-12-31,36.17,1973,4
South Africa,1973-12-31,85.74,1973,4
Canada,1974-03-31,51.91,1974,1
Switzerland,1974-03-31,87.45,1974,1
United Kingdom,1974-03-31,35.31,1974,1
South Africa,1974-03-31,83.93,1974,1
Canada,1974-06-30,52.42,1974,2
Switzerland,1974-06-30,86.95,1974,2
United Kingdom,1974-06-30,33.44,1974,2
South Africa,1974-06-30,82.82,1974,2
Canada,1974-09-30,50.44,1974,3
Switzerland,1974-09-30,85.46,1974,3
United Kingdom,1974-09-30,33.03,1974,3
South Africa,1974-09-30,79.65,1974,3
Canada,1974-12-31,49.14,1974,4
Switzerland,1974-12-31,82.33,1974,4
United Kingdom,1974-12-31,31.92,1974,4
South Africa,1974-12-31,77.42,1974,4
Canada,1975-03-31,50.81,1975,1
Switzerland,1975-03-31,78.11,1975,1
United Kingdom,1975-03-31,30.65,1975,1
South Africa,1975-03-31,80.0,1975,1
Canada,1975-06-30,51.25,1975,2
Switzerland,1975-06-30,76.19,1975,2
United Kingdom,1975-06-30,28.8,1975,2
South Africa,1975-06-30,79.35,1975,2
Canada,1975-09-30,51.19,1975,3
Switzerland,1975-09-30,74.96,1975,3
United Kingdom,1975-09-30,28.49,1975,3
South Africa,1975-09-30,77.09,1975,3
Canada,1975-12-31,52.23,1975,4
Switzerland,1975-12-31,74.16,1975,4
United Kingdom,1975-12-31,27.83,1975,4
United States,1975-12-31,65.13,1975,4
South Africa,1975-12-31,77.23,1975,4
Canada,1976-03-31,53.7,1976,1
Switzerland,1976-03-31,72.16,1976,1
United Kingdom,1976-03-31,27.57,1976,1
United States,1976-03-31,67.4,1976,1
South Africa,1976-03-31,77.07,1976,1
Canada,1976-06-30,53.54,1976,2
Switzerland,1976-06-30,72.69,1976,2
United Kingdom,1976-06-30,27.41,1976,2
United States,1976-06-30,67.03,1976,2
South Africa,1976-06-30,76.06,1976,2
Canada,1976-09-30,52.85,1976,3
Switzerland,1976-09-30,71.61,1976,3
United Kingdom,1976-09-30,27.31,1976,3
United States,1976-09-30,68.63,1976,3
South Africa,1976-09-30,73.85,1976,3
Canada,1976-12-31,54.07,1976,4
Switzerland,1976-12-31,73.51,1976,4
United Kingdom,1976-12-31,26.66,1976,4
United States,1976-12-31,70.44,1976,4
South Africa,1976-12-31,72.52,1976,4
Canada,1977-03-31,53.43,1977,1
Switzerland,1977-03-31,73.19,1977,1
United Kingdom,1977-03-31,25.51,1977,1
United States,1977-03-31,72.05,1977,1
South Africa,1977-03-31,70.76,1977,1
Canada,1977-06-30,52.28,1977,2
Switzerland,1977-06-30,73.73,1977,2
United Kingdom,1977-06-30,24.95,1977,2
United States,1977-06-30,73.6,1977,2
South Africa,1977-06-30,69.23,1977,2
Canada,1977-09-30,51.02,1977,3
Switzerland,1977-09-30,74.93,1977,3
United Kingdom,1977-09-30,25.2,1977,3
United States,1977-09-30,75.16,1977,3
South Africa,1977-09-30,67.72,1977,3
Canada,1977-12-31,51.42,1977,4
Switzerland,1977-12-31,74.52,1977,4
United Kingdom,1977-12-31,25.77,1977,4
United States,1977-12-31,76.78,1977,4
South Africa,1977-12-31,66.74,1977,4
Canada,1978-03-31,50.23,1978,1
Switzerland,1978-03-31,73.56,1978,1
United Kingdom,1978-03-31,25.88,1978,1
United States,1978-03-31,78.32,1978,1
South Africa,1978-03-31,66.05,1978,1
Canada,1978-06-30,50.51,1978,2
Switzerland,1978-06-30,75.07,1978,2
United Kingdom,1978-06-30,26.53,1978,2
United States,1978-06-30,79.09,1978,2
South Africa,1978-06-30,64.65,1978,2
Canada,1978-09-30,49.2,1978,3
Switzerland,1978-09-30,76.27,1978,3
United Kingdom,1978-09-30,27.82,1978,3
United States,1978-09-30,80.15,1978,3
South Africa,1978-09-30,62.94,1978,3
Canada,1978-12-31,50.66,1978,4
Switzerland,1978-12-31,78.75,1978,4
United Kingdom,1978-12-31,29.49,1978,4
United States,1978-12-31,81.29,1978,4
South Africa,1978-12-31,63.63,1978,4
Canada,1979-03-31,51.29,1979,1
Switzerland,1979-03-31,78.59,1979,1
United Kingdom,1979-03-31,30.28,1979,1
United States,1979-03-31,82.57,1979,1
South Africa,1979-03-31,63.66,1979,1
Canada,1979-06-30,51.0,1979,2
Switzerland,1979-06-30,77.31,1979,2
United Kingdom,1979-06-30,31.73,1979,2
United States,1979-06-30,83.23,1979,2
South Africa,1979-06-30,64.07,1979,2
Canada,1979-09-30,49.81,1979,3
Switzerland,1979-09-30,79.34,1979,3
United Kingdom,1979-09-30,32.18,1979,3
United States,1979-09-30,83.69,1979,3
South Africa,1979-09-30,62.88,1979,3
Canada,1979-12-31,50.84,1979,4
Switzerland,1979-12-31,81.3,1979,4
United Kingdom,1979-12-31,33.3,1979,4
New Zealand,1979-12-31,37.13,1979,4
United States,1979-12-31,84.19,1979,4
South Africa,1979-12-31,63.94,1979,4
Canada,1980-03-31,50.48,1980,1
Switzerland,1980-03-31,84.0,1980,1
United Kingdom,1980-03-31,33.75,1980,1
New Zealand,1980-03-31,36.52,1980,1
United States,1980-03-31,82.75,1980,1
South Africa,1980-03-31,65.28,1980,1
Canada,1980-06-30,51.12,1980,2
Switzerland,1980-06-30,81.62,1980,2
United Kingdom,1980-06-30,33.21,1980,2
New Zealand,1980-06-30,36.19,1980,2
United States,1980-06-30,81.27,1980,2
South Africa,1980-06-30,67.48,1980,2
Canada,1980-09-30,51.75,1980,3
Switzerland,1980-09-30,82.41,1980,3
United Kingdom,1980-09-30,33.81,1980,3
New Zealand,1980-09-30,36.09,1980,3
United States,1980-09-30,81.85,1980,3
South Africa,1980-09-30,70.56,1980,3
Canada,1980-12-31,53.54,1980,4
Switzerland,1980-12-31,83.28,1980,4
United Kingdom,1980-12-31,33.37,1980,4
New Zealand,1980-12-31,35.92,1980,4
United States,1980-12-31,81.43,1980,4
South Africa,1980-12-31,73.61,1980,4
Canada,1981-03-31,53.75,1981,1
Switzerland,1981-03-31,84.7,1981,1
United Kingdom,1981-03-31,32.56,1981,1
New Zealand,1981-03-31,36.28,1981,1
United States,1981-03-31,80.81,1981,1
South Africa,1981-03-31,77.91,1981,1
Canada,1981-06-30,52.61,1981,2
Switzerland,1981-06-30,85.93,1981,2
United Kingdom,1981-06-30,31.93,1981,2
New Zealand,1981-06-30,37.9,1981,2
United States,1981-06-30,80.09,1981,2
South Africa,1981-06-30,82.68,1981,2
Canada,1981-09-30,52.37,1981,3
Switzerland,1981-09-30,84.58,1981,3
United Kingdom,1981-09-30,31.8,1981,3
New Zealand,1981-09-30,39.23,1981,3
United States,1981-09-30,78.53,1981,3
South Africa,1981-09-30,84.73,1981,3
Canada,1981-12-31,51.85,1981,4
Switzerland,1981-12-31,85.42,1981,4
United Kingdom,1981-12-31,30.63,1981,4
New Zealand,1981-12-31,40.85,1981,4
United States,1981-12-31,78.18,1981,4
South Africa,1981-12-31,86.68,1981,4
Canada,1982-03-31,48.52,1982,1
Switzerland,1982-03-31,86.82,1982,1
United Kingdom,1982-03-31,29.56,1982,1
New Zealand,1982-03-31,42.96,1982,1
United States,1982-03-31,77.98,1982,1
South Africa,1982-03-31,87.99,1982,1
Canada,1982-06-30,45.09,1982,2
Switzerland,1982-06-30,84.44,1982,2
United Kingdom,1982-06-30,29.82,1982,2
New Zealand,1982-06-30,44.34,1982,2
United States,1982-06-30,76.91,1982,2
South Africa,1982-06-30,87.38,1982,2
Canada,1982-09-30,43.31,1982,3
Switzerland,1982-09-30,83.34,1982,3
United Kingdom,1982-09-30,30.32,1982,3
New Zealand,1982-09-30,43.77,1982,3
United States,1982-09-30,75.57,1982,3
South Africa,1982-09-30,87.28,1982,3
Canada,1982-12-31,43.57,1982,4
Switzerland,1982-12-31,83.86,1982,4
United Kingdom,1982-12-31,30.37,1982,4
New Zealand,1982-12-31,43.57,1982,4
United States,1982-12-31,75.84,1982,4
South Africa,1982-12-31,86.53,1982,4
Canada,1983-03-31,46.22,1983,1
Switzerland,1983-03-31,84.22,1983,1
United Kingdom,1983-03-31,31.1,1983,1
New Zealand,1983-03-31,43.82,1983,1
United States,1983-03-31,76.67,1983,1
South Africa,1983-03-31,89.25,1983,1
Canada,1983-06-30,45.58,1983,2
Switzerland,1983-06-30,84.94,1983,2
United Kingdom,1983-06-30,31.64,1983,2
New Zealand,1983-06-30,44.2,1983,2
United States,1983-06-30,76.72,1983,2
South Africa,1983-06-30,92.11,1983,2
Canada,1983-09-30,44.28,1983,3
Switzerland,1983-09-30,86.92,1983,3
United Kingdom,1983-09-30,32.61,1983,3
New Zealand,1983-09-30,44.93,1983,3
United States,1983-09-30,76.85,1983,3
South Africa,1983-09-30,94.33,1983,3
Canada,1983-12-31,44.04,1983,4
Switzerland,1983-12-31,87.38,1983,4
United Kingdom,1983-12-31,32.51,1983,4
New Zealand,1983-12-31,45.97,1983,4
United States,1983-12-31,77.12,1983,4
South Africa,1983-12-31,97.53,1983,4
Canada,1984-03-31,43.48,1984,1
Switzerland,1984-03-31,87.75,1984,1
United Kingdom,1984-03-31,32.68,1984,1
New Zealand,1984-03-31,47.26,1984,1
United States,1984-03-31,77.26,1984,1
South Africa,1984-03-31,97.61,1984,1
Canada,1984-06-30,43.36,1984,2
Switzerland,1984-06-30,89.09,1984,2
United Kingdom,1984-06-30,33.0,1984,2
New Zealand,1984-06-30,47.78,1984,2
United States,1984-06-30,77.36,1984,2
South Africa,1984-06-30,93.74,1984,2
Canada,1984-09-30,42.21,1984,3
Switzerland,1984-09-30,88.94,1984,3
United Kingdom,1984-09-30,34.1,1984,3
New Zealand,1984-09-30,47.68,1984,3
United States,1984-09-30,77.45,1984,3
South Africa,1984-09-30,90.1,1984,3
Canada,1984-12-31,42.41,1984,4
Switzerland,1984-12-31,88.62,1984,4
United Kingdom,1984-12-31,34.25,1984,4
New Zealand,1984-12-31,47.5,1984,4
United States,1984-12-31,77.58,1984,4
