,date,country,price
304,1967-03-31,South Africa,12.4
365,1967-06-30,South Africa,13.42
426,1967-09-30,South Africa,17.98
487,1967-12-31,South Africa,16.05
548,1968-03-31,South Africa,2.82
609,1968-06-30,South Africa,1.01
670,1968-09-30,South Africa,1.49
731,1968-12-31,South Africa,4.14
792,1969-03-31,South Africa,6.87
814,1969-06-30,United Kingdom,0.41
853,1969-06-30,South Africa,8.61
875,1969-09-30,United Kingdom,-2.01
914,1969-09-30,South Africa,8.18
936,1969-12-31,United Kingdom,0.06
975,1969-12-31,South Africa,6.39
997,1970-03-31,United Kingdom,0.15
1036,1970-03-31,South Africa,10.68
1058,1970-06-30,United Kingdom,-3.19
1097,1970-06-30,South Africa,11.88
1119,1970-09-30,United Kingdom,0.68
1158,1970-09-30,South Africa,10.53
1180,1970-12-31,United Kingdom,-2.3
1219,1970-12-31,South Africa,9.16
1228,1971-03-31,Canada,3.18
1229,1971-03-31,Switzerland,3.54
1241,1971-03-31,United Kingdom,-0.82
1280,1971-03-31,South Africa,4.69
1289,1971-06-30,Canada,3.56
1290,1971-06-30,Switzerland,3.29
1302,1971-06-30,United Kingdom,0.73
1341,1971-06-30,South Africa,1.6
1350,1971-09-30,Canada,1.36
1351,1971-09-30,Switzerland,4.67
1363,1971-09-30,United Kingdom,1.6
1402,1971-09-30,South Africa,-0.21
1411,1971-12-31,Canada,2.4
1412,1971-12-31,Switzerland,6.51
1424,1971-12-31,United Kingdom,7.25
1463,1971-12-31,South Africa,-0.61
1472,1972-03-31,Canada,3.02
1473,1972-03-31,Switzerland,3.69
1485,1972-03-31,United Kingdom,12.53
1524,1972-03-31,South Africa,-1.35
1533,1972-06-30,Canada,2.19
1534,1972-06-30,Switzerland,10.59
1546,1972-06-30,United Kingdom,22.09
1585,1972-06-30,South Africa,-2.69
1594,1972-09-30,Canada,3.69
1595,1972-09-30,Switzerland,10.64
1607,1972-09-30,United Kingdom,30.89
1646,1972-09-30,South Africa,-1.45
1655,1972-12-31,Canada,3.16
1656,1972-12-31,Switzerland,13.67
1668,1972-12-31,United Kingdom,33.21
1707,1972-12-31,South Africa,0.09
1716,1973-03-31,Canada,5.61
1717,1973-03-31,Switzerland,16.55
1729,1973-03-31,United Kingdom,40.05
1768,1973-03-31,South Africa,2.17
1777,1973-06-30,Canada,9.74
1778,1973-06-30,Switzerland,8.32
1790,1973-06-30,United Kingdom,32.38
1829,1973-06-30,South Africa,4.2
1838,1973-09-30,Canada,15.25
1839,1973-09-30,Switzerland,5.6
1851,1973-09-30,United Kingdom,22.9
1890,1973-09-30,South Africa,7.64
1899,1973-12-31,Canada,19.29
1900,1973-12-31,Switzerland,-3.14
1912,1973-12-31,United Kingdom,13.71
1951,1973-12-31,South Africa,7.64
